Start_Date,End_Date,Elec,Fuel,OAT
30-Jun-14,31-Jul-14,0.067918525,5.743310937,76.3125
31-Jul-14,31-Aug-14,0.065637465,6.009295776,74.5313
31-Aug-14,30-Sep-14,0.063138328,5.862443883,70.3871
30-Sep-14,31-Oct-14,0.055691837,7.877451283,60.5
31-Oct-14,30-Nov-14,0.051952247,132.3491109,45.3226
30-Nov-14,31-Dec-14,0.052787542,279.2160696,40.625
31-Dec-14,31-Jan-15,0.052748271,268.8541327,29.8438
31-Jan-15,28-Feb-15,0.054369812,374.6137644,24.1724
28-Feb-15,31-Mar-15,0.053228011,223.1446805,37.0313
31-Mar-15,30-Apr-15,0.052498729,80.68640427,52.2258
30-Apr-15,31-May-15,0.058149359,21.98911623,65.5
31-May-15,30-Jun-15,0.06633732,26.48694802,70.6774
30-Jun-15,31-Jul-15,0.070246027,5.624421823,78.5
31-Jul-15,31-Aug-15,0.073539498,5.726090468,78.8438
31-Aug-15,30-Sep-15,0.066453891,5.621901889,74.0323
30-Sep-15,31-Oct-15,0.05778554,24.62340662,58.5313
31-Oct-15,30-Nov-15,0.054702763,40.05437517,53.3226
30-Nov-15,31-Dec-15,0.053532755,81.68639803,50.0313
31-Dec-15,31-Jan-16,0.05378281,255.1474987,36
31-Jan-16,29-Feb-16,0.053787879,209.3486953,38.3667
29-Feb-16,31-Mar-16,0.05164736,100.9906256,48.4375
31-Mar-16,30-Apr-16,0.052353419,61.12194744,52.6129
30-Apr-16,31-May-16,0.054050048,6.226913883,62.5625
31-May-16,30-Jun-16,0.057954545,5.241477273,73.2581
